,Date,khoingoaiBUY,khoingoaiSELL,tongkhoingoai,tudoanhBUY,tudoanhSELL,tongtudoanh
0,19/05/2023,0.16,2.4,-2.24,,,
1,18/05/2023,23.35,3.56,19.79,31.71,0.31,31.4
2,17/05/2023,15.08,26.22,-11.14,24.29,0.04,24.25
3,16/05/2023,13.36,19.87,-6.51,17.26,0.14,17.12
4,15/05/2023,1.83,38.37,-36.54,0,7.2,-7.2
5,12/5/2023,27.97,8.39,19.58,0.25,1.49,-1.24
6,11/5/2023,72.92,8.65,64.26,4.18,3.42,0.76
7,10/5/2023,43.07,11.19,31.88,0.48,1.14,-0.65
8,9/5/2023,9.89,24.07,-14.18,0.91,1.28,-0.37
9,8/5/2023,116.75,22.8,93.95,2.34,6.08,-3.73
10,5/5/2023,3.65,30.54,-26.89,1.27,3.72,-2.45
11,4/5/2023,10.71,28.33,-17.62,0.69,0.67,0.02
12,28/04/2023,78.94,103.54,-24.6,0.12,1.04,-0.93
13,27/04/2023,19.14,41.37,-22.24,0.23,2.08,-1.85
14,26/04/2023,148.25,164.75,-16.5,2.16,2.08,0.08
15,25/04/2023,56.6,45.12,11.48,6.52,7.61,-1.09
16,24/04/2023,5.22,33.48,-28.26,4.97,15.03,-10.07
17,21/04/2023,20.82,84.61,-63.79,0.31,7.09,-6.78
18,20/04/2023,4.96,11.54,-6.58,9.86,1.27,8.59
19,19/04/2023,45.86,23.91,21.95,1.2,1.75,-0.56
20,18/04/2023,,,,7.16,8.23,-1.07
